   225.00  23.47   4.90  33.90   3.90  25.42   0.00    36   561  -0.28
   255.00  24.16   4.41  36.00   3.95  25.76   0.00    36   561  -0.40
   285.00  24.77   5.39  31.21   3.98  25.97   0.00    41   561  -0.51
   315.00  23.75   7.08  53.97   3.97  25.91   0.00    73   561  -0.63
    15.00  23.03   5.59 173.67   3.90  25.47   0.00   218   561  -0.68
    45.00  23.00   4.71  92.80   3.89  25.36   0.00   100   561  -0.70
    75.00  23.00   5.91 297.44   3.88  25.29   0.00   561   561  -0.77
   105.00  23.00   6.82 283.00   3.86  25.15   0.00   283   561  -0.92
   135.00  23.00   7.33 283.00   3.86  25.15   0.00   283   560  -0.13
   165.00  23.00   7.14 201.00   3.86  25.15   0.00   201   560  -0.34
   195.00  23.02   5.38 162.00   3.86  25.17   0.00   162   560  -0.50
   225.00  23.47   4.89  33.72   3.90  25.44   0.00    36   560  -0.65
   255.00  24.16   4.41  36.00   3.95  25.78   0.00    36   560  -0.77
   285.00  24.77   5.39  31.19   3.98  25.98   0.00    41   560  -0.88
   315.00  23.75   7.08  53.93   3.97  25.93   0.00    73   560  -1.00
    15.00  23.03   5.58 137.02   3.91  25.54   0.00   162   559  -0.05
    45.00  23.00   4.71  95.64   3.90  25.45   0.00   100   559  -0.07
    75.00  23.00   5.91 133.19   3.90  25.45   0.00   180   559  -0.14
   105.00  23.00   6.82 180.00   3.90  25.43   0.00   180   559  -0.29
   135.00  23.00   7.33 206.38   3.89  25.40   0.00   230   559  -0.50
   165.00  23.00   7.14 230.00   3.89  25.38   0.00   230   559  -0.71
   195.00  23.02   5.38 162.00   3.89  25.40   0.00   162   559  -0.87
   225.00  23.47   4.89  33.70   3.94  25.68   0.00    36   558  -0.02
   255.00  24.16   4.41  36.00   3.99  26.03   0.00    36   558  -0.14
   285.00  24.77   5.39  31.22   4.02  26.24   0.00    41   558  -0.25
   315.00  23.74   7.08  53.97   4.01  26.18   0.00    73   558  -0.37
    15.00  23.03   5.58 127.22   3.95  25.80   0.00   147   558  -0.42
    45.00  23.00   4.71  94.98   3.94  25.72   0.00   100   558  -0.44
    75.00  23.00   5.91 125.75   3.94  25.72   0.00   158   558  -0.51
   105.00  23.00   6.82 158.00   3.94  25.71   0.00   158   558  -0.66
   135.00  23.00   7.33 182.72   3.93  25.67   0.00   219   558  -0.87
   165.00  23.00   7.14 219.00   3.93  25.62   0.00   219   557  -0.08
   195.00  23.02   5.38 200.00   3.93  25.64   0.00   200   557  -0.24
   225.00  23.47   4.89  33.66   3.97  25.91   0.00    36   557  -0.39
   255.00  24.16   4.41  36.00   4.03  26.27   0.00    36   557  -0.51
   285.00  24.77   5.39  31.22   4.06  26.49   0.00    41   557  -0.62
   315.00  23.74   7.08  53.91   4.04  26.42   0.00    73   557  -0.73
    15.00  23.03   5.58 162.20   3.97  25.96   0.00   200   557  -0.79
    45.00  23.00   4.71  94.12   3.95  25.85   0.00   100   557  -0.81
    75.00  23.00   5.91 157.42   3.95  25.86   0.00   200   557  -0.87
