 7.00	2355.00	295.36	92.04	 1.45	157.06	393.55	96015.24
 7.00	2385.00	295.61	88.95	 1.63	194.63	391.72	95982.13
 7.00	2415.00	296.64	81.64	 1.47	235.32	383.15	95976.47
 7.00	2445.00	296.85	87.52	 0.80	226.82	390.99	95957.09
 7.00	2475.00	297.29	87.43	 0.12	222.76	395.87	95856.95
 7.00	2505.00	296.97	89.34	 0.37	205.93	397.60	95858.57
 8.00	2535.00	297.28	88.25	 0.92	183.60	403.43	95734.20
 8.00	2565.00	296.61	89.48	 0.95	210.97	398.14	95901.37
 8.00	2595.00	296.60	92.33	 0.36	199.01	401.73	95836.76
 8.00	2625.00	296.95	90.96	 0.31	202.71	401.82	95873.91
 8.00	2655.00	297.09	88.07	 1.10	205.65	394.51	95952.25
 8.00	2685.00	296.42	92.30	 0.86	167.68	399.20	95854.53
 8.00	2715.00	296.31	89.50	 0.95	186.16	392.07	96003.12
 8.00	2745.00	296.61	85.90	 1.45	213.48	386.28	95928.02
 8.00	2775.00	297.18	78.39	 1.40	257.49	381.96	96013.62
 8.00	2805.00	297.13	87.74	 0.69	224.92	394.69	96015.24
 8.00	2835.00	297.14	88.67	 0.47	217.44	396.49	95912.67
 8.00	2865.00	297.00	89.85	 0.51	191.13	398.60	96003.12
 9.00	2895.00	296.66	91.79	 1.13	166.60	406.56	95945.78
 9.00	2925.00	297.53	84.38	 1.16	220.33	400.77	96007.97
 9.00	2955.00	296.69	91.47	 0.33	200.32	401.58	96035.43
 9.00	2985.00	296.95	91.49	 0.44	189.36	402.68	96019.27
 9.00	3015.00	296.81	90.93	 0.96	177.49	401.70	96026.54
 9.00	3045.00	296.86	86.74	 1.66	189.26	394.55	96008.78
 9.00	3075.00	296.29	86.55	 1.60	194.21	389.29	96100.03
 9.00	3105.00	296.43	80.87	 1.86	214.76	384.57	96083.07
 9.00	3135.00	297.67	74.07	 1.70	271.63	380.62	96067.73
 9.00	3165.00	299.27	69.60	 1.20	282.39	387.63	95971.63
 9.00	3195.00	297.72	88.75	 0.34	199.62	402.63	95886.83
 9.00	3225.00	297.15	92.76	 0.86	171.21	408.02	95917.52
10.00	3255.00	297.19	91.82	 0.72	180.40	403.83	95860.18
10.00	3285.00	297.49	87.97	 0.80	209.02	404.28	95882.79
10.00	3315.00	297.67	91.26	 0.69	180.63	410.68	95776.19
10.00	3345.00	297.27	91.64	 0.43	197.52	403.27	95923.17
10.00	3375.00	297.27	92.07	 0.82	174.44	405.78	95897.33
10.00	3405.00	296.07	93.04	 1.27	148.99	400.20	96007.97
10.00	3435.00	295.61	93.31	 1.30	148.75	397.47	95993.43
10.00	3465.00	296.11	93.26	 1.43	158.65	401.06	95991.01
10.00	3495.00	296.60	89.89	 1.31	203.64	396.24	95888.45
10.00	3525.00	297.32	86.68	 0.56	230.77	395.05	95828.68
10.00	3555.00	297.33	88.79	 0.72	197.06	403.41	95795.57
10.00	3585.00	297.00	88.18	 1.00	194.32	400.14	95833.53
11.00	3615.00	297.08	88.96	 0.82	191.54	403.55	95706.74
11.00	3645.00	296.74	89.79	 0.88	205.06	401.42	95833.53
11.00	3675.00	296.83	90.73	 0.69	200.41	403.31	95807.69
11.00	3705.00	296.86	90.38	 0.71	195.35	402.82	95789.11
11.00	3735.00	296.80	91.31	 0.67	181.34	399.62	95844.84
11.00	3765.00	296.25	91.60	 0.68	168.52	397.87	95989.39
11.00	3795.00	295.99	92.48	 0.87	157.23	400.32	95940.13
11.00	3825.00	295.51	92.32	 1.53	172.15	395.46	95995.05
11.00	3855.00	296.59	85.66	 1.28	226.71	388.76	95970.82
11.00	3885.00	297.55	83.79	 0.53	240.81	393.43	95912.67
11.00	3915.00	297.06	89.42	 0.42	205.06	399.24	95915.90
11.00	3945.00	296.50	91.73	 0.75	184.67	402.82	95949.82
12.00	3975.00	296.65	89.91	 1.01	188.42	402.29	95863.41
12.00	4005.00	296.39	92.06	 0.73	187.96	402.11	96041.08
12.00	4035.00	296.88	89.60	 0.86	203.85	401.98	96005.55
12.00	4065.00	296.95	91.23	 0.02	187.29	404.55	95875.52
12.00	4095.00	296.45	93.33	 0.74	170.27	404.21	95844.84
12.00	4125.00	296.15	92.56	 1.14	163.96	400.82	95965.17
12.00	4155.00	295.55	91.55	 1.36	166.45	394.42	96007.97
12.00	4185.00	296.19	85.41	 1.59	205.56	389.70	96026.54
12.00	4215.00	296.13	85.64	 1.80	216.68	388.26	96052.39
12.00	4245.00	296.84	84.88	 1.28	235.68	391.20	95961.94
12.00	4275.00	297.64	83.68	 0.37	237.88	394.28	95885.22
12.00	4305.00	296.99	90.97	 0.82	182.34	403.44	95901.37
13.00	4335.00	297.43	89.01	 1.07	187.12	406.38	95860.99
13.00	4365.00	297.53	86.41	 1.07	208.63	403.06	95912.67
13.00	4395.00	296.49	93.86	 0.44	176.94	406.61	95941.75
13.00	4425.00	296.68	93.75	 0.48	181.83	407.78	95879.56
13.00	4455.00	296.09	94.07	 1.61	155.43	404.47	95972.43
13.00	4485.00	295.81	90.56	 1.68	174.65	396.28	96035.43
13.00	4515.00	295.60	89.87	 1.59	180.50	391.63	96058.85
13.00	4545.00	295.94	85.09	 1.81	205.90	389.87	96073.38
13.00	4575.00	297.27	72.56	 1.65	276.72	376.81	96101.65
13.00	4605.00	298.21	69.83	 1.33	281.00	384.12	95923.98
13.00	4635.00	296.15	91.38	 0.39	202.99	400.18	95962.74
13.00	4665.00	296.53	92.26	 0.53	180.01	403.24	95930.44
14.00	4695.00	296.46	90.37	 0.56	202.97	396.37	96119.42
14.00	4725.00	297.09	87.27	 0.73	206.30	397.42	96012.01
14.00	4755.00	296.91	92.28	 0.49	179.81	403.60	96050.77
14.00	4785.00	296.49	92.97	 0.06	184.67	402.81	95972.43
14.00	4815.00	296.22	93.69	 0.70	170.82	403.18	95911.06
14.00	4845.00	296.03	92.92	 1.23	155.83	400.51	95908.64
14.00	4875.00	295.38	92.82	 1.51	158.98	393.57	96083.07
14.00	4905.00	296.37	86.10	 1.22	214.38	390.35	96000.70
14.00	4935.00	296.90	87.33	 0.84	226.77	392.39	95939.32
14.00	4965.00	297.25	83.04	 0.98	240.70	392.05	95920.75
14.00	4995.00	297.54	87.83	 0.14	196.25	400.56	95900.56
14.00	5025.00	296.58	92.13	 0.90	173.12	401.55	95964.36
15.00	5055.00	296.94	87.96	 0.92	192.35	400.57	95898.94
15.00	5085.00	297.39	85.65	 0.82	224.06	396.44	95949.01
15.00	5115.00	296.52	91.21	 0.41	182.18	401.29	95998.28
15.00	5145.00	296.32	93.74	 0.36	141.08	406.76	95983.74
15.00	5175.00	296.44	94.00	 0.94	147.32	406.87	95970.82
15.00	5205.00	295.90	94.40	 1.09	151.19	401.81	96024.93
15.00	5235.00	295.82	89.15	 1.46	176.02	393.55	96000.70
15.00	5265.00	296.10	82.91	 1.50	212.63	385.65	96141.22
15.00	5295.00	297.32	73.63	 1.34	268.06	380.56	96062.08
15.00	5325.00	297.84	76.59	 0.91	262.45	388.35	96033.81
15.00	5355.00	297.28	87.04	 0.21	206.46	399.59	95842.41
15.00	5385.00	296.81	91.92	 0.67	179.13	404.31	95805.26
16.00	5415.00	296.09	93.47	 0.60	174.88	404.11	95838.38
16.00	5445.00	296.57	90.16	 0.55	194.82	401.80	95812.53
16.00	5475.00	296.22	92.92	 0.26	178.32	404.96	95951.44
16.00	5505.00	296.67	92.57	 0.68	174.54	403.81	95892.48
16.00	5535.00	296.51	92.35	 1.00	158.34	402.72	95964.36
16.00	5565.00	296.18	91.84	 1.10	158.46	397.39	95944.17
16.00	5595.00	295.67	87.80	 1.58	178.58	388.39	96027.35
16.00	5625.00	295.70	85.14	 1.85	200.88	384.90	96099.23
16.00	5655.00	297.06	71.35	 1.54	279.90	370.61	96088.73
16.00	5685.00	298.54	68.01	 1.07	286.46	381.20	95995.05
16.00	5715.00	297.87	86.06	 0.51	201.57	399.93	95906.21
16.00	5745.00	297.27	91.39	 0.52	167.70	405.23	95952.25
17.00	5775.00	296.97	91.39	 0.96	172.89	404.49	95934.48
17.00	5805.00	296.70	92.70	 0.74	185.03	402.58	95940.94
17.00	5835.00	296.95	91.62	 0.50	171.74	406.64	95898.94
17.00	5865.00	296.90	93.04	 0.13	173.69	403.87	95893.29
17.00	5895.00	296.97	91.88	 0.65	165.52	403.49	95924.79
17.00	5925.00	296.65	93.87	 1.06	143.64	406.51	95932.86
17.00	5955.00	296.08	91.90	 1.21	146.77	399.26	95935.29
17.00	5985.00	295.82	92.50	 1.60	154.79	398.09	95979.70
17.00	6015.00	297.06	82.74	 1.11	232.51	389.99	96016.85
17.00	6045.00	297.83	82.78	 0.89	233.83	394.83	95856.95
17.00	6075.00	297.48	90.55	 0.21	173.02	406.27	95847.26
17.00	6105.00	297.26	91.10	 0.73	183.97	404.22	95866.64
18.00	6135.00	297.02	90.28	 0.74	179.44	402.39	95779.42
18.00	6165.00	297.16	89.87	 0.68	192.31	402.05	95801.23
18.00	6195.00	297.85	88.27	 0.16	202.42	404.11	95807.69
18.00	6225.00	297.33	90.70	 0.42	183.31	404.90	95840.80
18.00	6255.00	297.04	91.44	 0.77	165.27	403.22	95979.70
18.00	6285.00	296.46	92.41	 1.07	149.20	403.02	95952.25
18.00	6315.00	296.47	88.99	 1.08	165.17	396.85	95940.13
18.00	6345.00	296.39	91.46	 1.08	171.94	396.38	95982.93
18.00	6375.00	297.06	85.93	 0.87	218.34	393.54	95859.37
18.00	6405.00	297.08	90.63	 0.56	183.72	402.32	95879.56
18.00	6435.00	297.19	90.68	 0.43	174.48	402.74	95798.00
18.00	6465.00	297.58	87.41	 0.79	184.34	402.99	95773.77
19.00	6495.00	296.98	90.97	 0.61	179.57	404.62	95902.17
19.00	6525.00	297.20	89.87	 0.73	193.20	403.79	95780.23
19.00	6555.00	297.24	90.87	 0.33	181.19	406.93	95992.62
19.00	6585.00	297.08	90.66	 0.73	189.58	401.28	96020.89
19.00	6615.00	297.25	88.38	 0.93	194.91	395.05	95966.78
19.00	6645.00	296.84	83.71	 1.52	206.86	381.70	96080.65
19.00	6675.00	295.90	88.79	 1.49	174.41	388.94	96072.58
19.00	6705.00	296.59	77.22	 1.69	259.64	372.64	96164.64
19.00	6735.00	297.59	70.35	 1.56	290.90	369.80	96179.18
19.00	6765.00	298.66	67.34	 1.23	295.55	376.91	96137.99
19.00	6795.00	298.00	82.79	 0.66	228.61	395.22	96054.81
19.00	6825.00	297.70	91.16	 0.50	184.93	405.21	95983.74
20.00	6855.00	298.56	84.98	 0.64	212.87	404.06	96007.16
20.00	6885.00	298.05	90.67	 0.51	179.19	410.37	96120.22
20.00	6915.00	297.87	91.04	 0.53	188.61	407.04	96038.66
20.00	6945.00	298.05	92.21	 0.57	166.17	413.20	96003.12
20.00	6975.00	297.78	93.55	 0.47	146.07	414.69	95929.63
20.00	7005.00	297.04	93.20	 0.58	146.07	408.04	95938.52
20.00	7035.00	296.64	93.44	 0.61	147.74	405.66	95935.29
20.00	7065.00	296.42	92.53	 1.19	163.95	402.50	95988.59
20.00	7095.00	297.14	88.75	 1.06	196.94	399.41	95947.40
20.00	7125.00	297.64	90.55	 0.45	192.42	405.72	95867.45
20.00	7155.00	297.60	90.35	 0.45	171.83	407.19	95761.65
20.00	7185.00	297.67	89.74	 0.64	183.12	406.53	95768.92
21.00	7215.00	297.29	91.16	 0.61	155.79	406.18	95671.21
21.00	7245.00	297.50	89.44	 0.73	183.10	405.29	95848.87
21.00	7275.00	297.31	90.70	 0.44	192.84	405.29	95659.09
21.00	7305.00	297.38	91.54	 0.28	183.28	404.86	95802.84
21.00	7335.00	296.65	93.18	 0.91	148.86	404.36	95919.13
21.00	7365.00	296.48	91.41	 1.00	158.85	399.84	95970.82
21.00	7395.00	296.04	89.96	 1.27	157.95	396.31	95956.28
21.00	7425.00	296.35	85.10	 1.56	199.11	390.47	96053.19
21.00	7455.00	296.63	86.71	 1.32	208.46	392.53	95969.20
21.00	7485.00	297.02	89.37	 0.70	199.26	399.01	95879.56
21.00	7515.00	297.04	91.90	 0.63	172.53	404.54	95810.11
21.00	7545.00	297.08	91.10	 0.52	158.39	406.02	95747.93
22.00	7575.00	296.76	91.51	 0.57	156.86	404.15	95794.77
22.00	7605.00	297.01	90.90	 0.55	176.07	404.62	95774.58
22.00	7635.00	297.13	89.70	 0.39	188.49	404.58	95786.69
22.00	7665.00	297.13	91.91	 0.26	184.00	404.50	95800.42
22.00	7695.00	297.17	91.78	 0.37	164.86	404.32	95883.60
22.00	7725.00	295.86	95.29	 0.84	82.88	407.56	95949.01
22.00	7755.00	296.08	92.04	 1.38	142.77	400.93	95929.63
22.00	7785.00	296.22	89.10	 1.24	178.19	395.10	95947.40
22.00	7815.00	297.10	85.72	 1.39	219.21	391.60	95955.48
22.00	7845.00	297.05	91.28	 0.53	185.78	405.43	95824.65
22.00	7875.00	297.78	90.16	 0.34	181.93	407.02	95726.12
22.00	7905.00	297.84	89.23	 0.74	183.05	404.69	95720.47
23.00	7935.00	297.14	91.78	 0.38	162.80	406.00	95791.54
23.00	7965.00	297.67	88.85	 0.87	164.52	406.92	95682.51
23.00	7995.00	297.41	90.42	 0.47	186.62	404.80	95834.34
23.00	8025.00	297.34	93.58	 0.25	155.96	409.82	95846.45
23.00	8055.00	297.21	91.64	 0.93	158.39	403.13	95928.02
23.00	8085.00	296.38	93.26	 0.91	126.25	403.15	95911.06
23.00	8115.00	296.19	92.11	 1.36	154.75	398.74	95952.25
23.00	8145.00	296.45	87.12	 1.64	184.64	396.02	95989.39
23.00	8175.00	296.98	86.96	 1.30	203.50	393.02	95959.51
23.00	8205.00	297.68	88.30	 0.57	209.63	400.63	95894.91
23.00	8235.00	297.52	90.51	 0.56	177.11	405.47	95848.07
