1	23.1	113.3	7	-168	34
27	36.28	138.52	1084	-168.3333333	23.38660585
48	27.05	142.11	3	-124	-124
49	13.45	100.32	2	-134	-134
50	26.21	127.68	12	-188	-188
51	13.45	100.32	2	-178	10.44030651
54	35.37	139.23	129	-168.1111111	17.26589445
63	33.808	-116.778	1620	-151.8888889	21.73387014
75	34.806	-115.664	1500	-159.5555556	32.2339538
86	34.226	-118.161	640	-139.5	12.12435565
90	34.09	-118.589	400	-126.5625	9.811345473
108	42.08	-71.96	212	-187.9848485	17.24706657
174	-23.22	143.95	191	-161.7142857	26.2152264
183	34.7	110.6825	496	-169.2	16.58915308
188	18.22	109.5	1	-151.1333333	18.64658784
204	37.1	113	929	-182.2857143	25.091262
211	35.8	109.5	1216	-175.625	20.49346586
219	35.267	108.633	1249	-170	-170
220	38.383	107.500	1319	-159.4	20.72679425
230	36.000	110.133	888	-136.5	0.707106781
232	36.000	105.049	1697	-173	-173
233	40.750	108.667	1022	-127	18.38477631
235	34.167	109.317	518	-186	-186
236	36.050	103.783	1598	-162.5	45.96194078
238	35.817	109.500	1216	-157	-157
239	43.950	116.050	983	-205	-205
240	35.667	106.600	1622	-178	-178
241	36.600	109.050	1340	-143.7777778	17.37654869
250	37.767	107.683	1324	-160	-160
251	35.400	109.100	1240	-136	-136
252	38.450	106.270	1110	-158	-158
253	46.900	-120.4	502	-203.2857143	10.55693988
258	42.754	10.923	11	-157	-157
262	50.119	6.879	436	-169	-169
265	68.669	21.516	428	-207	-207
267	61.849	24.279	149	-189	-189
270	43.833	10.314	18	-168.6	11.32695899
275	40.933	15.603	674	-149	-149
276	67.172	26.860	300	-167	-167
281	61.060	25.099	151	-160	-160
284	61.194	25.141	156	-214.5	23.33452378
286	67.356	27.168	293	-203.3333333	27.53785274
300	49.33	12.46	505	-178.1	10.49285471
310	41.66	-70.7	0	-168	13.61983847
315	40.0	-105.0	1650.0	-255	18
318	43.96	-101.9	738	-229	22
325	38.90	-99.30	620	-208	8
329	46.50	-100.90	563	-229	13
335	39.09	-96.58	418	-211	16
340	40.8	-104.8	1600	-204	13
343	34.35	-106.88	1600	-170	25
347	47.15	-99.30	614	-239	20
353	47	-116	862	-227	-227
354	46.7	-117	787	-195	11.3137085
