1	23.1	113.3	7	-208
2	23.1	113.3	7	-204
3	23.1	113.3	7	-209
4	23.1	113.3	7	-158
5	23.1	113.3	7	-156
6	23.1	113.3	7	-199
7	23.1	113.3	7	-207
8	23.1	113.3	7	-171
9	23.1	113.3	7	-166
10	23.1	113.3	7	-180
11	23.1	113.3	7	-161
12	23.1	113.3	7	-175
13	23.1	113.3	7	-204
14	23.1	113.3	7	-161
15	23.1	113.3	7	-196
16	23.1	113.3	7	-110
17	23.1	113.3	7	-95
18	23.1	113.3	7	-123
19	23.1	113.3	7	-132
20	23.1	113.3	7	-174
21	23.1	113.3	7	-218
22	23.1	113.3	7	-149
23	23.1	113.3	7	-120
24	23.1	113.3	7	-9999
25	23.1	113.3	7	-156
26	23.1	113.3	7	-178
27	36.28	138.52	1084	-119
28	36.28	138.52	1084	-123
29	36.28	138.52	1084	-134
30	36.28	138.52	1084	-161
31	36.28	138.52	1084	-171
32	36.28	138.52	1084	-157
33	36.28	138.52	1084	-155
34	36.28	138.52	1084	-158
35	36.28	138.52	1084	-170
36	36.28	138.52	1084	-193
37	36.28	138.52	1084	-188
38	36.28	138.52	1084	-178
39	36.28	138.52	1084	-183
40	36.28	138.52	1084	-190
41	36.28	138.52	1084	-167
42	36.28	138.52	1084	-206
43	36.28	138.52	1084	-202
44	36.28	138.52	1084	-170
45	36.28	138.52	1084	-156
46	36.28	138.52	1084	-168
47	36.28	138.52	1084	-186
48	27.05	142.11	3	-124
49	13.45	100.32	2	-134
50	26.21	127.68	12	-188
51	13.45	100.32	2	-173
52	13.45	100.32	2	-171
53	13.45	100.32	2	-190
54	35.37	139.23	129	-145
55	35.17	139.09	12	-167
56	35.17	139.09	12	-150
57	35.17	139.09	12	-164
58	35.17	139.09	12	-173
59	35.37	139.23	129	-153
60	35.17	139.09	12	-177
61	35.17	139.09	12	-196
62	35.17	139.09	12	-188
63	33.808	-116.778	1620	-9999
64	33.808	-116.778	1620	-145
65	33.808	-116.778	1620	-191
66	33.808	-116.778	1620	-150
67	33.808	-116.778	1620	-134
68	33.808	-116.778	1620	-136
69	33.808	-116.778	1620	-162
70	33.808	-116.778	1620	-172
71	33.808	-116.778	1620	-158
72	33.808	-116.778	1620	-119
73	33.808	-116.778	1620	-9999
74	33.808	-116.778	1620	-9999
75	34.806	-115.664	1500	-127
76	34.806	-115.664	1500	-143
77	34.806	-115.664	1500	-151
78	34.806	-115.664	1500	-207
79	34.806	-115.664	1500	-156
80	34.806	-115.664	1500	-192
81	34.806	-115.664	1500	-9999
82	34.806	-115.664	1500	-197
83	34.806	-115.664	1500	-114
84	34.806	-115.664	1500	-9999
85	34.806	-115.664	1500	-149
86	34.226	-118.161	640	-139
87	34.226	-118.161	640	-127
88	34.226	-118.161	640	-136
89	34.226	-118.161	640	-156
90	34.09	-118.589	400	-147
91	34.09	-118.589	400	-125
92	34.09	-118.589	400	-132
93	34.09	-118.589	400	-133
94	34.09	-118.589	400	-9999
95	34.09	-118.589	400	-126
96	34.09	-118.589	400	-120
97	34.09	-118.589	400	-119
98	34.09	-118.589	400	-118
99	34.09	-118.589	400	-102
100	34.09	-118.589	400	-9999
101	34.09	-118.589	400	-126
102	34.09	-118.589	400	-128
103	34.09	-118.589	400	-136
104	34.09	-118.589	400	-130
105	34.09	-118.589	400	-121
106	34.09	-118.589	400	-132
107	34.09	-118.589	400	-130
108	42.08	-71.96	212	-194
109	42.08	-71.96	212	-195
110	42.08	-71.96	212	-206
111	42.08	-71.96	212	-219
112	42.08	-71.96	212	-170
113	42.08	-71.96	212	-176
114	42.08	-71.96	212	-187
115	42.08	-71.96	212	-182
116	42.08	-71.96	212	-197
117	42.08	-71.96	212	-181
118	42.08	-71.96	212	-168
119	42.08	-71.96	212	-174
120	42.08	-71.96	212	-174
121	42.08	-71.96	212	-182
122	42.08	-71.96	212	-176
123	42.08	-71.96	212	-190
124	42.08	-71.96	212	-178
125	42.08	-71.96	212	-177
126	42.08	-71.96	212	-185
127	42.08	-71.96	212	-187
128	42.08	-71.96	212	-197
129	42.08	-71.96	212	-180
130	42.08	-71.96	212	-187
131	42.08	-71.96	212	-188
132	42.08	-71.96	212	-207
133	42.08	-71.96	212	-165
134	42.08	-71.96	212	-173
135	42.08	-71.96	212	-167
136	42.08	-71.96	212	-188
137	42.08	-71.96	212	-170
138	42.08	-71.96	212	-168
139	42.08	-71.96	212	-194
140	42.08	-71.96	212	-188
141	42.08	-71.96	212	-176
142	42.08	-71.96	212	-208
143	42.08	-71.96	212	-200
144	42.08	-71.96	212	-190
145	42.08	-71.96	212	-185
146	42.08	-71.96	212	-182
147	42.08	-71.96	212	-187
148	42.08	-71.96	212	-204
149	42.08	-71.96	212	-184
150	42.08	-71.96	212	-173
151	42.08	-71.96	212	-187
152	42.08	-71.96	212	-173
153	42.08	-71.96	212	-193
154	42.08	-71.96	212	-217
155	42.08	-71.96	212	-200
156	42.08	-71.96	212	-231
157	42.08	-71.96	212	-186
158	42.08	-71.96	212	-218
159	42.08	-71.96	212	-226
160	42.08	-71.96	212	-232
161	42.08	-71.96	212	-218
162	42.08	-71.96	212	-179
163	42.08	-71.96	212	-202
164	42.08	-71.96	212	-195
165	42.08	-71.96	212	-156
166	42.08	-71.96	212	-170
167	42.08	-71.96	212	-159
168	42.08	-71.96	212	-192
169	42.08	-71.96	212	-201
170	42.08	-71.96	212	-200
171	42.08	-71.96	212	-160
172	42.08	-71.96	212	-165
173	42.08	-71.96	212	-188
174	-23.22	143.95	191	-158
175	-23.22	143.95	191	-117
176	-23.22	143.95	191	-158
177	-23.22	143.95	191	-199
178	-23.22	143.95	191	-187
179	-23.22	143.95	191	-9999
180	-23.22	143.95	191	-154
181	-23.22	143.95	191	-9999
182	-23.22	143.95	191	-159
183	34.7	110.6825	496	-159
184	34.7	110.6825	496	-145
185	34.7	110.6825	496	-184
186	34.7	110.6825	496	-179
187	34.7	110.6825	496	-179
188	18.22	109.5	1	-140
189	18.22	109.5	1	-154
190	18.22	109.5	1	-186
191	18.22	109.5	1	-119
192	18.22	109.5	1	-155
193	18.22	109.5	1	-162
194	18.22	109.5	1	-131
195	18.22	109.5	1	-144
196	18.22	109.5	1	-159
197	18.22	109.5	1	-129
198	18.22	109.5	1	-134
199	18.22	109.5	1	-160
200	18.22	109.5	1	-171
201	18.22	109.5	1	-148
202	18.22	109.5	1	-9999
203	18.22	109.5	1	-175
204	37.1	113	929	-182
205	37.1	113	929	-166
206	37.1	113	929	-197
207	37.1	113	929	-153
208	37.1	113	929	-156
209	37.1	113	929	-218
